"","公立(％)","私立(％)","国立(％)","その他(％)","無回答(％)"
"全体","44.1","52.2","1.6","0.4","1.7"
"困窮層","59.2","36.1","","0.8","3.9"
"周辺層","48.1","49.1","1.5","0.6","0.6"
"一般層","41.3","55.8","2.0","0.3","0.6"
