"年","15～19歳(％)","20～24歳(％)","25～29歳(％)","30～34歳(％)","35～39歳(％)","40～44歳(％)","45～49歳(％)","50～54歳(％)","55～59歳(％)","60～64歳(％)","65歳以上(％)"
"2002","","","","","","","","","","",""
"2007","","","","","","","","","","",""
"2012","","","","","","","","","","",""
