"","公共施設(N=125)","スポーツ・文化関連団体(N=29)","プレーパーク関連(N=50)","自主活動団体(N=24)","福祉施設(N=35)"
"その他","","","","",""
"プレーパーク","","","","",""
"商業施設","","","","",""
"習い事・塾","","","","",""
"自然の場所","","","","",""
"空き地","","","","",""
"公園","","","","",""
"児童館などの公共施設","","","","",""
"学校","","","","",""
"友だちの家","","","","",""
"自分の家","","","","",""
