"ﾙｰﾄ名","区市町村名","返送数","回収率(%)","世帯数","回収率(世帯別)(%)"
"R1","江戸川区","171","28.5","112","47.2"
"R2","江東区","186","31.0","129","43.0"
"R3","台東区","178","29.7","129","43.0"
"R4","品川区","213","35.5","143","47.7"
"R5","杉並区","223","37.2","154","51.3"
"特別区合計","","971","32.4","667","44.7"
"R6","調布市･三鷹市","212","35.3","141","47.0"
"R7","東大和市･東村山市","193","32.2","128","42.7"
"R8","青梅市","215","35.8","137","45.7"
"R9","町田市","205","34.2","131","43.7"
"R10","八王子市","194","32.3","130","43.3"
"多摩地域合計","","1019","34.0","667","44.5"
"総計","","1990","33.3","1334","44.5"
