"施設種別","園児・児童の合計値／最大値","園児・児童の合計値／最少値","園児・児童の合計値／平均値","園児・児童の合計値／中央値","園児・児童の合計値／標準偏差"
"認可保育所＊","360","3","103","103","33.85"
"認証保育所＊","135","1","32","32","13.37"
"認定こども園＊","616","8","120","120","140.08"
"幼稚園＊","563","12","168","144","103.45"
"ベビーホテル","1937","0","18","18","117.7"
"家庭的保育","15","0","3","3","1.86"
"学童保育","713","2","51","51","63.4"
"上記以外","1700","0","33","12","118.59"
"総数","1937","0","59","59","84"
"＊前回調査施設 (再掲）","616","1","107","99","76" 
