"年度","よくある(%)","ときどきある(%)","ほとんどない(%)","まったくない(%)","無回答(%)"
"24","56.7","37.1","4.8","0.7","0.7"
"19","44.3","46.4","7.7","1.2","0.4"
"14","41.1","45.0","8.9","1.3","0.7"
"9","39.9","48.7","10.6","0.7","0.1"
