"発災時","場所選択1(直後)","場所選択2","場所選択3","場所選択4","場所選択5","当日夜","計（人）"
"自宅(202人)","自宅(15人)","自宅","自宅","自宅","自宅","自宅","13"
"自宅(202人)","自宅(15人)","避難（自宅外へ）","","","","","1"
"自宅(202人)","自宅(15人)","避難（自宅外へ）","車","車","","","1"
"自宅(202人)","避難（自宅外へ）（187人）","","","","","","44"
"自宅(202人)","避難（自宅外へ）（187人）","自宅周辺(26人)","","","","","9"
"自宅(202人)","避難（自宅外へ）（187人）","自宅周辺(26人)","車","車","","","3"
"自宅(202人)","避難（自宅外へ）（187人）","自宅周辺(26人)","車","車","車","車","7"
"自宅(202人)","避難（自宅外へ）（187人）","自宅周辺(26人)","公園","","","","1"
"自宅(202人)","避難（自宅外へ）（187人）","自宅周辺(26人)","公園","指定避難所","指定避難所","指定避難所","2"
"自宅(202人)","避難（自宅外へ）（187人）","自宅周辺(26人)","指定外避難所","指定外避難所","指定外避難所","指定外避難所","1"
"自宅(202人)","避難（自宅外へ）（187人）","自宅周辺(26人)","指定避難所","指定避難所","指定避難所","指定避難所","3"
"自宅(202人)","避難（自宅外へ）（187人）","自宅","自宅","自宅","自宅","自宅","1"
"自宅(202人)","避難（自宅外へ）（187人）","テント","テント","テント","テント","テント","1"
"自宅(202人)","避難（自宅外へ）（187人）","車(80人)","","","","","35"
"自宅(202人)","避難（自宅外へ）（187人）","車(80人)","車","車","車","車","31"
"自宅(202人)","避難（自宅外へ）（187人）","車(80人)","車","自宅","自宅","自宅","4"
"自宅(202人)","避難（自宅外へ）（187人）","車(80人)","車","テント","テント","車","1"
"自宅(202人)","避難（自宅外へ）（187人）","車(80人)","職場駐車場","職場駐車場","職場駐車場","職場駐車場","2"
"自宅(202人)","避難（自宅外へ）（187人）","車(80人)","指定避難所(敷地内で車内避難)","指定避難所(敷地内で車内避難)","指定避難所(敷地内で車内避難)","指定避難所(敷地内で車内避難)","7"
"自宅(202人)","避難（自宅外へ）（187人）","公園(11人)","","","","","3"
"自宅(202人)","避難（自宅外へ）（187人）","公園(11人)","自宅","自宅","自宅","自宅","1"
"自宅(202人)","避難（自宅外へ）（187人）","公園(11人)","車","車","車","車","2"
"自宅(202人)","避難（自宅外へ）（187人）","公園(11人)","車","","","","1"
"自宅(202人)","避難（自宅外へ）（187人）","公園(11人)","指定避難所","指定避難所","指定避難所","指定避難所","4"
"自宅(202人)","避難（自宅外へ）（187人）","指定外避難所(2人)","実家","実家","実家","実家","1"
"自宅(202人)","避難（自宅外へ）（187人）","指定外避難所(2人)","車","車","車","","1"
"自宅(202人)","避難（自宅外へ）（187人）","指定避難所(18人)","指定避難所","指定避難所","指定避難所","指定避難所","17"
"自宅(202人)","避難（自宅外へ）（187人）","指定避難所(18人)","車","車","車","車","1"
"自宅(202人)","避難（自宅外へ）（187人）","実家","実家","実家","実家","実家","4"
