"","ない(金銭的な理由)(％)","ない(時間の制約)(％)"
"海水浴に行く","2.8","14.0"
"博物館・科学館・美術館などに行く","2.0","8.7"
"キャンプやバーベキューに行く","3.4","12.4"
"スポーツ観戦や劇場に行く","3.9","7.7"
"遊園地やテーマパークに行く","4.7","5.2"
