"","大変満足(%)","満足(%)","やや満足(%)","どちらともいえない(%)","やや不満(%)","不満(%)","非常に不満(%)","無回答(%)","サンプル数","平均"
"TOTAL","14.7","32.5","26.5","16.0","5.5","","","","8214","1.2"
"正規職員","15.7","32.6","26.1","15.8","5.2","","","","4702","1.3"
"有期契約職員フルタイム","13.3","33.1","24.4","17.4","6.5","","","","886","1.2"
"有期契約職員パートタイム","13.1","32.2","28.0","15.9","5.6","3.2","","","2536","1.2"
