"発災時","場所選択1(直後)","場所選択2","場所選択3","場所選択4","場所選択5","当日夜","計（人）"
"車(15人)","車","車","車","車","車","車","1"
"車(15人)","自宅へ（10人）","","","","","","2"
"車(15人)","自宅へ（10人）","","","車","車","車","1"
"車(15人)","自宅へ（10人）","避難（自宅外へ）","車","車","車","自宅","1"
"車(15人)","自宅へ（10人）","避難（自宅外へ）","車","","","","1"
"車(15人)","自宅へ（10人）","避難（自宅外へ）","指定避難所","指定避難所","指定避難所","指定避難所","1"
"車(15人)","自宅へ（10人）","避難（自宅外へ）","自宅周辺","自宅周辺","自宅周辺","","1"
"車(15人)","自宅へ（10人）","避難（自宅外へ）","自宅周辺","","","","2"
"車(15人)","自宅へ（10人）","車","自宅","公園","車庫","自宅","1"
"車(15人)","近くの民家","指定避難所","指定避難所","指定避難所","指定避難所","指定避難所","1"
"車(15人)","指定避難所","指定避難所","指定避難所","指定避難所","指定避難所","指定避難所","2"
"車(15人)","車","レストラン","自宅","自宅","自宅","自宅","1"
"歩道","安全な場所","指定避難所","指定避難所","指定避難所","指定避難所","指定避難所","1"
"新幹線","指定避難所","自宅","","","","","1"
