"年","雇用者数(万人)","女性(万人)","雇用者全体に占める女性割合(%)"
"昭和45","3306","1096","33.2"
"昭和50","3647","1168","32.0"
"昭和55","3971","1354","34.1"
"昭和60","4313","1548","35.9"
"平成2","4835","1834","37.9"
"平成7","5263","2048","38.9"
"平成12","5356","2140","40.0"
"平成13","5369","2168","40.4"
"平成14","5331","2161","40.7"
"平成15","5335","2177","40.8"
