"","島しょ全体(人)","島しょ全体(%)","大島出張所管内(人)","大島出張所管内(%)","大島町(人)","大島町(%)","利島村(人)","利島村(%)","新島村(人)","新島村(%)","神津島村(人)","神津島村(%)"
"男性／8ｇ以下","121","13.2","55","1.5","22","9.9","7","17.5","14","10.4","12","14.8"
"男性／8ｇより多い","794","86.8","423","88.5","201","90.1","33","82.5","120","89.6","69","85.2"
"女性／8ｇ以下","265","25.0","113","20.4","49","19.9","14","41.2","34","18.5","16","18.0"
"女性／8ｇより多い","794","75.0","440","79.6","197","80.1","20","58.8","150","81.5","73","82.0"
