"","小学6年生(人)","小学6年生(%)","中学3年生(人)","中学3年生(%)"
"何とも思わない","197","65.2","227","72.1"
"かっこ悪い","98","32.5","77","24.4"
"かっこいい","5","1.7","1","0.3"
"男性はかっこいい","1","0.3","6","1.9"
"女性はかっこいい","0","0.0","1","0.3"
"無記入","1","0.3","3","1.0"
"合計","302","100.0","315","100.0"
