"年度","よくある(%)","ときどきある(%)","ほとんどない(%)","まったくない(%)","無回答(%)"
"24","42.0","50.1","6.2","1.0","0.7"
"19","43.0","49.3","6.1","1.0","0.7"
"14","35.2","48.6","11.8","2.3","2.2"
"9","28.4","50.2","16.9","3.9","0.5"
