"年度","件数","増減(件)","増減(％)"
"27","3056","97","3.3"
"26","2959","198","7.1"
"25","2761","335","13.8"
"24","2426","-303","-11.1"
"23","2729","107","4.1"
"22","2622","327","14.2"
"21","2295","149","6.9"
"20","2146","286","15.3"
"19","1860","183","10.9"
"18","1677","",""
