"","総数","台湾","中国","香港","オーストラリア","韓国","シンガポール","タイ","米国","マレーシア","英国","フランス","ドイツ","インド","ロシア","フィリピン","ベトナム","インドネシア","カナダ","その他"
"総数／n","119","24","14","14","8","7","7","6","6","3","3","2","2","1","1","0","0","0","0","21"
"総数／%","100","20.2","11.8","11.8","6.7","5.9","5.9","5.0","5.0","2.5","2.5","1.7","1.7","0.8","0.8","0.0","0.0","0.0","0.0","17.6"
"性別／男性／n","74","15","10","6","6","5","4","3","1","2","2","2","1","1","1","0","0","0","0","15"
"性別／男性／%","100","20.3","13.5","8.1","8.1","6.8","5.4","4.1","1.4","2.7","2.7","2.7","1.4","1.4","1.4","0.0","0.0","0.0","0.0","20.3"
"性別／女性／n","41","9","3","8","1","1","3","3","5","1","1","0","1","0","0","0","0","0","0","5"
"性別／女性／%","100","22.0","7.3","19.5","2.4","2.4","7.3","7.3","12.2","2.4","2.4","0.0","2.4","0.0","0.0","0.0","0.0","0.0","0.0","12.2"
"年代／10代以下／n","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"年代／10代以下／%","100","0.0","0.0","0.0","0.0","0.0","0.0","100","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"年代／20代／n","48","10","10","9","1","3","1","1","2","0","0","0","1","0","0","0","0","0","0","10"
"年代／20代／%","100","20.8","20.8","18.8","2.1","6.3","2.1","2.1","4.2","0.0","0.0","0.0","2.1","0.0","0.0","0.0","0.0","0.0","0.0","20.8"
"年代／30代／n","36","11","2","2","3","2","4","3","0","0","2","1","0","1","0","0","0","0","0","5"
"年代／30代／%","100","30.6","5.6","5.6","8.3","5.6","11.1","8.3","0.0","0.0","5.6","2.8","0.0","2.8","0.0","0.0","0.0","0.0","0.0","13.9"
"年代／40代／n","18","2","0","1","1","1","2","1","2","3","0","0","1","0","0","0","0","0","0","4"
"年代／40代／%","100","11.1","0.0","5.6","5.6","5.6","11.1","5.6","11.1","16.7","0.0","0.0","5.6","0.0","0.0","0.0","0.0","0.0","0.0","22.2"
"年代／50代／n","8","0","0","1","1","0","0","0","1","0","1","1","0","0","1","0","0","0","0","2"
"年代／50代／%","100","0.0","0.0","12.5","12.5","0.0","0.0","0.0","12.5","0.0","12.5","12.5","0.0","0.0","12.5","0.0","0.0","0.0","0.0","25"
"年代／60代／n","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"年代／60代／%","100","50.0","0.0","50.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"年代／70代以上／n","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"年代／70代以上／%","100","0.0","0.0","0.0","0.0","0.0","0.0","0.0","100","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"主な来日目的／観光・レジャー／n","108","22","12","14","8","5","5","6","5","3","2","2","2","1","1","0","0","0","0","20"
"主な来日目的／観光・レジャー／%","100","20.4","11.1","13.0","7.4","4.6","4.6","5.6","4.6","2.8","1.9","1.9","1.9","0.9","0.9","0.0","0.0","0.0","0.0","18.5"
"主な来日目的／親族・知人訪問／n","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"主な来日目的／親族・知人訪問／%","100","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","100","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"主な来日目的／ビジネス／n","7","0","1","0","0","2","2","0","1","0","0","0","0","0","0","0","0","0","0","1"
