"年度","よくある(%)","ときどきある(%)","ほとんどない(%)","まったくない(%)","無回答(%)"
"24","6.5","46","38.6","8.4","0.5"
"19","8.3","49.3","36.5","5.6","0.4"
"14","7.7","46.3","37.2","8.1","0.7"
"9","5.0","35.8","44.0","15.2","0.1"
