"年度末","18(人)","21(人)","22(人)","23(人)","24(人)","25(人)"
"合計","59866","67292","69807","72261","74971","77633"
"４度（軽度）","22614","28024","29790","31501","33336","35119"
"３度（中度）","18005","19023","19313","19575","19887","20309"
"２度（重度）","16977","17782","18127","18564","19059","19388"
"１度（最重度）","2270","2463","2577","2621","2689","2817"
