"","無職(％)","有職／勤め(常勤)","有職／勤め(パート・アルバイト)(％)","有職／自営業等(％)",""
"出産１年前(％)","25.6","47.2","22.5","3.8",""
"出産１年前の有識者の出産半年後の状況(％)","67.4","23.9","3.7","4.6",""
