"","調定額(円)","収納額(円)","還付未済額(別掲)(円)","不納欠損額(円)","未収額(円)","居所不明者調定額(円)","収納率(%)"
"現年分","6775948973","6378258284","2148378","941537","396749152","133674","94.13"
"滞納繰越分","1761673542","483787189","78984","263506198","1014380155","619250","27.47"
"計","8537622515","6862045473","2227362","264447735","1411129307","752924","80.38"
