"","海水浴(％)","博物館・科学館・美術館(％)","キャンプ・BBQ(％)","スポーツ観戦・劇場(％)","遊園地・テーマパーク(％)"
"困窮層","28.5","26.2","38.2","29.1","34.5"
"周辺層","6.6","2.8","6.4","10.6","10.6"
"一般層","0.2","0.1","0.6","0.6","1.0"
