"","よい(％)","まあよい(％)","ふつう(％)","あまりよくない(％)","よくない(％)","無回答(％)"
"困窮層","38.2","17.2","35.4","6.8","1.7","0.8"
"周辺層","36.7","21.9","35.2","5.0","","1.3"
"一般層","47.1","19.8","26.9","4.3","0.6","1.3"
