"","悪い影響がある","何らかの影響がある","良い影響がある","よくわからない"
"小学6年生／n=295(人)","183","90","3","19"
"小学6年生／n=295(%)","62.1","30.5","1.0","6.4"
"中学3年生／n=309(人)","226","76","2","5"
"中学3年生／n=309(%)","73.1","24.6","0.7","1.6"
