"","H21(%)","H22(%)","H23(%)","H24(%)","H25(%)","H26(%)","H27(%)","H28(%)","計画(％)"
"都","63.9","65.0","62.4","61.4","63.0","61.2","54.4","(集計中)","64.0"
"全国","58.1","59.0","58.1","58.0","59.1","58.5","","(集計中)",""
