"","一般相談(件)","内訳／離婚・親権・婚姻費用(件)","内訳／取り決め方法(件)","内訳／面接交渉(件)","内訳／支払履行(件)","内訳／その他(件)","専門相談(人)"
"H21","380","86","140","18","63","73","135"
"H22","301","76","107","22","43","53","118"
"H23","408","123","136","37","41","71","139"
"H24","431","115","160","36","54","66","121"
"H25","318","70","136","25","36","51","97"
