"","在学者割合（％）（女性）","平均初婚年齢（歳）（女性）"
"全国","7.5","27.6"
"東京","8.3","28.7"
"神奈川","8.1","28.2"
"千葉","7.9","27.8"
"埼玉","8.2","27.8"
"京都","9.2","27.8"
"大阪","7.5","27.8"
"奈良","8.8","27.6"
