"","施設数","1人","2人","3人","4人","5人","6人","7人","8人","9人","10人","11人"
"認可保育所＊","252","221","25","6","","","","","","","",""
"認証保育所＊","17","15","2","","","","","","","","",""
"認定こども園＊","28","20","8","","","","","","","","",""
"幼稚園＊","189","132","42","9","2","1","1","1","","","","1"
"ベビーホテル","15","13","2","","","","","","","","",""
"家庭的保育","2","1","1","","","","","","","","",""
"学童保育","88","69","16","3","","","","","","","",""
"上記以外の施設","4","3","1","","","","","","","","",""
"総数","595","474","97","18","2","1","1","1","0","0","0","1"
"＊前回調査施設 (再掲）","486","388","77","15","2","1","1","1","0","0","0","1" 
