"","毎日(％)","週に３～４日(％)","週に１～２日(％)","そこでは全く過ごさない(％)","無回答(％)"
"自分の家","37.1","26.4","27.6","4.5","4.5"
"友達の家","0.4","4.4","34.2","50.3","10.7"
"塾や習い事","4.6","32.7","36.7","18.3","7.7"
"児童館（学童クラブ含む）など","1.7","4.2","14.7","69.0","10.4"
"学校（クラブ活動など）","4.1","4.8","28.2","52.5","10.4"
"スポーツクラブ（野球場など）","1.4","6.2","22.1","59.8","10.6"
"公園","3.3","14.3","34.3","38.9","9.2"
"図書館","0.5","2.6","18.4","68.2","10.3"
"商店街やショッピングモール","0.4","1.5","13.8","73.7","10.5"
"ゲームセンター","0.1","0.4","4.5","84.7","10.3"
"その他","1.4","1.3","2.7","52.5","42.1"
