"","人数","割合"
"知っており、参加したことがある","28","0.8"
"知っているが、参加したことはない","325","9.5"
"知らなかったが、参加してみたい","1082","31.5"
"知らないし、参加する予定はない","1913","55.7"
"無回答","87","2.5"
"総数","3435","100.0" 
