"年度末","平成19(人)","平成20(人)","平成21(人)","平成22(人)","平成23(人)","平成24(人)","平成25(人)","平成26(目標)(人)"
"定員","7589","7576","7443","7451","7418","7374","7413","7344"
"地域移行者数","373","520","690","842","1001","1127","1212","2204"
