"","0歳(人)","1歳(人)","2歳(人)","満3歳(人)","3歳(人)","4歳(人)","5歳(人)","計(人)"
"全体","478","917","1095","273","6062","6984","7016","22825"
"保育に欠ける子","478","917","1090","54","1777","1791","1799","7906"
"保育に欠けない子","0","0","5","219","4285","5193","5217","14919"
