"","ある(％)","ない(欲しい)(％)","ない(欲しくない)(％)","無回答(％)"
"小学5年生全体","75.7","14.7","9.1","0.4"
"困窮層","59.3","21.8","18.9",""
"周辺層","70.8","18.2","10.7","0.3"
"一般層","78.4","13.6","7.7","0.3"
"中学2年生全体","87.8","6.8","5.1","0.3"
"困窮層","73.0","16.5","9.9","0.6"
"周辺層","85.8","8.5","4.8","1.0"
"一般層","90.2","5.2","4.4","0.2"
