"年度","よくある(%)","ときどきある(%)","ほとんどない(%)","まったくない(%)","無回答(%)"
"24","55.6","39.3","4.5","0.3","0.4"
"19","52.6","42.7","4.0","0.3","0.3"
"14","47.4","43.3","8.2","0.6","0.5"
"9","47.4","43.3","8.2","0.6","0.5"
