"","全国/離婚件数(人)","全国/離婚率（人口千対）(人)","東京都/離婚件数(人)","東京都/離婚率（人口千対）(人)"
"H10","243183","1.94","25685","2.21"
"H11","250529","2.00","26375","2.27"
"H12","264246","2.10","27032","2.28"
"H13","285911","2.27","28593","2.40"
"H14","289836","2.36","28780","2.40"
"H15","283854","2.25","28211","2.34"
"H16","270804","2.15","27123","2.24"
"H17","261917","2.08","26984","2.19"
"H18","257475","2.04","26347","2.12"
"H19","254832","2.02","26627","2.13"
"H20","251136","1.99","26300","2.10"
