"","施設総数","１受け入れる／施設数","１受け入れる／割合","２断る／施設数","２断る／割合","３決まっていない／施設数","３決まっていない／割合","無回答／施設数","無回答／割合"
"認可保育所＊","1588","1272","80.1","23","1.4","255","16.1","38","2.4"
"認証保育所＊","527","230","43.6","65","12.3","209","39.7","23","4.4"
"認定こども園＊","95","55","57.9","5","5.3","32","33.7","3","3.2"
"幼稚園＊","666","362","54.4","69","10.4","211","31.7","24","3.6"
"ベビーホテル","331","94","28.4","84","25.4","141","42.6","12","3.6"
"家庭的保育","596","33","5.5","278","46.6","147","24.7","138","23.2"
"学童保育","1169","1053","90.1","5","0.4","87","7.4","24","2.1"
"上記以外の施設","376","128","34.0","56","14.9","179","47.6","13","3.5"
"総数","5348","3227","60.3","585","10.9","1261","23.6","275","5.1"
"＊前回調査施設 (再掲）","2876","1919","66.7","162","5.6","707","24.6","88","3.1" 
