"","S45","S50","S55","S60","H2","H7","H12","H17","H18","H19","H20"
"雇用者数(万人)","3306","3647","3971","4312","4835","5263","5355","5393","5472","5523","5524"
"女性(万人)","1096","1168","1353","1549","1834","2048","2139","2229","2278","2297","2312"
"雇用者数全体に占める女性割合(％)","33.2","32.0","34.1","35.9","37.9","38.9","40.0","41.6","41.6","41.6","41.9"
