"","ふたり親(二世代)(％)","ふたり親(三世代)(％)","ひとり親(二世代)(％)","ひとり親(三世代)(％)"
"小学5年生（***）","5.9","8.7","12.9","10.6"
"中学2年生（***）","6.7","8.0","12.7","16.2"
"16-17歳（***）","7.0","9.5","12.3","11.1"
