"食品群別","ビタミンB2／mg","ビタミンB2／寄与率(%)","ナイアシン／mgNE","ナイアシン／寄与率(%)","ビタミンC／mg","ビタミンC／寄与率(%)","食物繊維／ｇ","食物繊維／寄与率(%)","ビタミンE／mgα-TE","ビタミンE／寄与率(%)","葉酸／μｇ","葉酸／寄与率(%)"
"鳥肉","0.04","3.2","1.1","7.8","0","0.4","0","0","0","0.5","2","0.6"
"鶏肉","0.04","3.2","1.1","7.8","0","0.4","0","0","0","0.5","2","0.6"
"その他の鳥肉","0","0.1","0","0.1","0","0","0","0","0","0","0","0"
"肉類(内臓)","0.02","1.6","0.1","0.5","0","0.1","0","0","0","0","6","2.2"
"その他の肉類","0","0","0","0","0","0","0","0","0","0","0","0"
"鯨肉","0","0","0","0","0","0","0","0","0","0","0","0"
"その他の肉･加工品","0","0","0","0","0","0","0","0","0","0","0","0"
"卵類","0.13","11.6","0","0.3","0","0","0","0","0.3","5.1","12","4.2"
"乳類","0.22","19.4","0.1","1","1","1","0","0","0.2","2.5","7","2.7"
"牛乳､乳製品","0.22","19.4","0.1","1","1","1","0","0","0.2","2.5","7","2.7"
"牛乳","0.14","12.1","0.1","0.6","1","0.9","0","0","0.1","1.3","4","1.4"
"チーズ","0.02","1.6","0","0","0","0","0","0","0.1","0.8","1","0.5"
"発酵乳･乳酸菌飲料","0.05","4.7","0","0.2","0","0.1","0","0","0","0.2","2","0.7"
"その他の乳製品","0.01","0.9","0","0.1","0","0","0","0","0","0.3","0","0"
"その他の乳類","0","0","0","0","0","0","0","0","0","0","0","0"
"油脂類","0","0.1","0","0","0","0","0","0","1.3","20.9","0","0"
"バター","0","0","0","0","0","0","0","0","0","0.4","0","0"
"マーガリン","0","0","0","0","0","0","0","0","0.2","2.8","0","0"
"植物性油脂","0","0","0","0","0","0","0","0","1.1","17.6","0","0"
"動物性油脂","0","0","0","0","0","0","0","0","0","0","0","0"
"その他の油脂","0","0","0","0","0","0","0","0","0","0.1","0","0"
"菓子類","0.03","2.7","0.2","1.1","0","0.4","0.4","3","0.2","3.4","4","1.5"
"和菓子類","0.01","0.7","0.1","0.6","0","0.2","0.2","1.6","0","0.5","2","0.6"
"ケーキ･ペストリー類","0.01","0.8","0","0.2","0","0","0.1","0.4","0.1","1.3","1","0.4"
"ビスケット類","0","0.2","0","0.1","0","0","0","0.2","0","0.7","0","0.1"
"キャンデー類","0","0","0","0","0","0","0","0","0","0","0","0"
"その他の菓子類","0.01","1","0","0.3","0","0.3","0.1","0.7","0.1","0.9","1","0.4"
"嗜好飲料類","0.1","9.2","1.7","11.7","8","8.9","0","0.1","0","0.2","29","10.5"
"アルコール飲料","0.01","0.9","0.3","2.4","0","0","0","0","0","0","4","1.3"
"日本酒","0","0","0","0","0","0","0","0","0","0","0","0"
"ビール","0.01","0.8","0.3","2.4","0","0","0","0","0","0","4","1.3"
"洋酒･その他","0","0.1","0","0","0","0","0","0","0","0","0","0"
"その他の嗜好飲料","0.09","8.3","1.4","9.3","8","8.9","0","0.1","0","0.2","26","9.3"
"茶","0.08","7.3","0.4","2.4","8","8.9","0","0.1","0","0.1","26","9.2"
"コーヒー､ココア","0.01","1","1","6.8","0","0","0","0.1","0","0","0","0"
"その他の嗜好飲料","0","0","0","0","0","0","0","0","0","0","0","0"
"調味料･香辛料類","0.08","7.4","0.9","6.2","0","0.5","0.7","4.8","0.5","7.7","12","4.4"
"調味料","0.08","7.4","0.9","6.1","0","0.5","0.7","4.7","0.5","7.7","12","4.3"
"ソース","0","0.1","0","0","0","0","0","0.1","0","0.1","0","0"
"しようゆ","0.02","1.6","0.1","1","0","0","0","0","0","0","4","1.3"
"塩","0","0","0","0","0","0","0","0","0","0","0","0"
"マヨネーズ","0","0.2","0","0","0","0","0","0","0.2","3.7","0","0"
"味噌","0.01","1.1","0.1","0.8","0","0","0.4","2.8","0","0.8","5","1.7"
"その他の調味料","0.05","4.3","0.6","4.3","0","0.5","0.2","1.7","0.2","3.1","4","1.3"
"香辛料･その他","0","0","0","0","0","0","0","0.1","0","0","0","0.1"
"栄養素調整調味料類およびその他の加工食品等","0","0","0","0","0","0","0","0","0","0","0","0"
