"","通って（来てもらって）いない(％)","週に１日(％)","週に２日(％)","週に３日(％)","週に４日以上(％)","無回答(％)"
"全体","47.0","8.3","17.2","14.8","9.5","3.2"
"困窮層","68.3","8.1","12.2","5.0","1.7","4.8"
"周辺層","55.6","6.5","16.4","10.1","7.2","4.2"
"一般層","43.4","8.8","16.5","17.0","11.4","2.8"
