"年齢","人","平均値(mgNE)","標準偏差(mgNE)","パーセンタイル／1(mgNE)","パーセンタイル／5(mgNE)","パーセンタイル／10(mgNE)","パーセンタイル／25(mgNE)","パーセンタイル／50(中央値)(mgNE)","パーセンタイル／75(mgNE)","パーセンタイル／90(mgNE)","パーセンタイル／95(mgNE)","パーセンタイル／99(mgNE)"
"男性総数","205","15.9","8.5","4.9","6.5","7.5","9.7","14.3","20.2","25.9","28.1","43"
"1～2歳","4","9.7","7.1","2","2.5","3.3","5.4","9.2","13.5","16.5","17.5","18.3"
"3～5歳","5","7.7","0.6","7.2","7.2","7.3","7.4","7.5","7.8","8.3","8.5","8.6"
"6～7歳","6","8.2","1.5","6.2","6.5","6.8","7.6","8","9.1","9.9","10.2","10.4"
"8～9歳","3","9.7","2.3","7.6","7.7","7.9","8.5","9.5","10.8","11.5","11.8","12"
"10～11歳","5","11.2","4.9","6.9","7.1","7.4","8.2","8.3","14.1","16.6","17.5","18.1"
"12～14歳","8","13","6","5.9","6.2","6.5","8.5","11.7","17.3","20.2","21.4","22.3"
"15～17歳","6","16.9","6.2","10.5","10.8","11.1","12.7","16","19.2","23.8","25.6","27.1"
"18～29歳","20","17.8","9.3","7.5","7.8","8.8","11.2","17.4","20.1","25.6","27.9","45"
"30～49歳","42","15.7","7.5","5.1","6.1","6.7","10.4","15.1","20","26","28.6","34.6"
"50～69歳","60","18.4","10","6.9","9.3","9.6","12.8","17","21.1","26.8","28.7","55.6"
"70歳以上","46","15.9","7.6","2.3","5.8","7.7","10.3","14.9","21","25.1","28","33.6"
"女性総数","228","13.3","5.9","4.2","5.7","6.9","8.8","12.7","16.9","20.8","22.5","30.1"
"1～2歳","3","6.3","2.1","4.3","4.5","4.7","5.3","6.3","7.4","8.1","8.3","8.5"
"3～5歳","2","7.1","1.9","5.8","5.9","6.1","6.5","7.1","7.8","8.2","8.4","8.5"
"6～7歳","6","8.2","2.6","6.4","6.4","6.5","6.7","7.2","8.5","11","12","12.9"
"8～9歳","4","7.1","1.9","4.6","4.9","5.2","6.4","7.6","8.3","8.5","8.5","8.6"
"10～11歳","1","9","0","9","9","9","9","9","9","9","9","9"
"12～14歳","8","12.5","3","6.8","7.8","9","11","13.6","14.7","15","15.1","15.2"
"15～17歳","7","12","5.2","5.9","6.7","7.6","9.5","10.6","13.8","18.2","19.8","21.1"
"18～29歳","17","14.6","8.6","4.9","5.5","6.9","8.9","13.3","17","20.7","25.9","38.8"
"30～49歳","60","13.5","5.4","5.3","6.8","8.3","9.6","13","16.9","20.4","21.8","29.3"
"50～69歳","71","14.7","5.6","4.4","7.2","7.7","10.2","14.8","18.7","21.9","22.5","28.6"
"70歳以上","49","12.8","6.2","2.3","5.6","6.8","8","11.2","16.3","21.5","22.7","28.3"
"(再掲)妊婦","1","19.1","0","19.1","19.1","19.1","19.1","19.1","19.1","19.1","19.1","19.1"
"授乳婦","1","10","0","10","10","10","10","10","10","10","10","10"
