"食品群別","エネルギー／kcal","エネルギー／寄与率(%)","たんぱく質／ｇ","たんぱく質／寄与率(%)","脂質／ｇ","脂質／寄与率(%)","食塩相当量／ｇ","食塩相当量／寄与率(%)","カリウム／ｍｇ","カリウム／寄与率(%)","カルシウム／mg","カルシウム／寄与率(%)","鉄／mg","鉄／寄与率(%)","ビタミンA／ugRE","ビタミンA／寄与率(%)","ビタミンB1／mg","ビタミンB1／寄与率(%)"
"調査人数","433","","433","","433","","433","","433","","433","","433","","433","","433",""
"総量","1849","100","69.1","100","57.8","100","9.7","100","2266","100","510","100","7.3","100","530","100","0.86","100"
"動物性食品","481","26","38","54.9","29.5","51","1.5","15.1","614","27.1","236","46.2","2.1","29","197","37.1","0.4","47.2"
"植物性食品","1368","74","31.1","45.1","28.3","49","8.2","84.9","1653","72.9","274","53.8","5.2","71","333","62.9","0.45","52.8"
"穀類","715","38.6","14.9","21.6","4.8","8.2","0.9","9.1","165","7.3","37","7.3","1","13.5","2","0.5","0.14","16"
"米･加工品","451","24.4","6.8","9.8","0.8","1.4","0","0.1","80","3.5","8","1.6","0.3","4","0","0","0.06","6.8"
"米","442","23.9","6.6","9.6","0.8","1.4","0","0.1","78","3.4","8","1.6","0.3","3.8","0","0","0.06","6.6"
"米加工品","9","0.5","0.2","0.2","0","0.1","0","0","2","0.1","0","0.1","0","0.2","0","0","0","0.2"
"小麦･加工品","243","13.2","7.5","10.8","3.8","6.5","0.9","8.8","80","3.5","27","5.4","0.6","8","2","0.5","0.07","8.3"
"小麦粉類","13","0.7","0.3","0.4","0.1","0.1","0","0","4","0.2","1","0.2","0","0.3","0","0","0","0.5"
"パン類(菓子パンを除く)","112","6","3.7","5.3","2.4","4.2","0.5","5.1","42","1.8","12","2.4","0.3","3.8","0","0","0.03","3.8"
"菓子パン類","14","0.7","0.3","0.5","0.4","0.7","0","0.3","5","0.2","2","0.4","0","0.5","2","0.3","0","0.5"
"うどん､中華めん類","69","3.8","2","2.9","0.3","0.6","0.1","1.4","21","0.9","6","1.2","0.1","1.8","0","0","0.01","0.8"
"即席中華めん","9","0.5","0.2","0.3","0.3","0.6","0.1","1.2","5","0.2","5","1","0","0.3","0","0.1","0.01","1.7"
"パスタ類","15","0.8","0.5","0.7","0.1","0.2","0","0.4","1","0.1","1","0.1","0.1","0.8","0","0","0","0.6"
"その他の小麦加工品","12","0.6","0.4","0.6","0.1","0.2","0","0.2","3","0.1","1","0.2","0","0.6","0","0","0","0.4"
"その他の穀類･加工品","21","1.1","0.7","1","0.1","0.2","0","0.3","5","0.2","1","0.3","0.1","1.5","0","0","0.01","0.9"
"そば･加工品","15","0.8","0.6","0.8","0.1","0.2","0","0","3","0.1","1","0.2","0.1","1.3","0","0","0.01","0.8"
"とうもろこし･加工品","4","0.2","0.1","0.1","0","0","0","0.2","1","0","0","0","0","0.1","0","0","0","0"
"その他の穀類","2","0.1","0","0.1","0","0","0","0","1","0","0","0","0","0.1","0","0","0","0.1"
"いも類","33","1.8","0.6","0.8","0","0.1","0","0","145","6.4","7","1.4","0.2","2.7","0","0","0.02","2.9"
"いも･加工品","29","1.6","0.6","0.8","0","0.1","0","0","145","6.4","7","1.4","0.2","2.6","0","0","0.02","2.9"
"さつまいも･加工品","5","0.3","0","0.1","0","0","0","0","18","0.8","2","0.3","0","0.4","0","0","0","0.5"
"じゃがいも･加工品","19","1.1","0.4","0.6","0","0","0","0","90","4","1","0.1","0.1","1.5","0","0","0.02","1.9"
"その他のいも･加工品","5","0.3","0.1","0.2","0","0","0","0","37","1.6","5","0.9","0.1","0.8","0","0","0","0.6"
"でんぷん･加工品","3","0.2","0","0","0","0","0","0","0","0","0","0","0","0.1","0","0","0","0"
"砂糖･甘味料類","23","1.2","0","0","0","0","0","0","2","0.1","1","0.1","0","0.2","0","0","0","0"
"豆類","66","3.6","4.9","7.1","3.8","6.6","0","0.2","141","6.2","56","10.9","1","13.2","0","0","0.05","5.3"
"大豆･加工品","63","3.4","4.7","6.9","3.8","6.6","0","0.2","133","5.9","55","10.7","0.9","12.7","0","0","0.04","5"
"大豆(全粒)･加工品","3","0.2","0.3","0.4","0.2","0.3","0","0","10","0.4","1","0.3","0","0.6","0","0","0","0.5"
"豆腐","20","1.1","1.7","2.5","1.1","1.9","0","0.1","40","1.8","26","5.2","0.3","3.6","0","0","0.02","2.8"
"油揚げ類","17","0.9","0.9","1.3","1.4","2.4","0","0","5","0.2","17","3.3","0.2","2.9","0","0","0","0.4"
