"","平成 21 年度(位)","平成 26 年度(位)",""
"小学6 年生/国語A","8","7",""
"小学6 年生/国語B","6","13",""
"小学6 年生/算数A","16","13",""
"小学6 年生/算数B","2","5",""
"中学 3 年生/国語A","31","8",""
"中学 3 年生/国語B","37","6",""
"中学 3 年生/数学A","26","12",""
"中学 3 年生/数学B","25","10",""
