"","使ってみたい(％)","興味がある(％)","使いたくない(％)","使う必要はない(％)","無回答(％)"
"小学5年生","35.3","24.7","12.4","25.4","2.1"
"中学2年生","37.7","27.8","6.9","25.7","1.9"
"16-17歳","44.8","24.8","4.7","23.2","2.5"
