"","S52(人)","S57(人)","S62(人)","H4(人)","H9(人)","H14(人)","H17(人)"
"理想子供数","2.61","2.62","2.67","2.64","2.53","2.56","2.48"
"平均出生児数","2.19","2.23","2.19","2.21","2.21","2.23","2.09"
