"","100万円未満(%)","100～200万円未満(%)","200～400万円未満(%)","400～600万円未満(%)","600万円～800万円(%)","800万円以上(%)","無回答(%)"
"母子世帯","18.3","23.6","30.8","13.3","5.8","3.0","5.3"
"父子世帯","4.8","7.9","19.0","22.2","15.9","25.5","4.8"
"両親世帯","0.5","1.3","14.0","26.3","22.3","31.2","4.4"
