"朝食欠食の状況","島しょ全体(%)","大島出張所管内(%)","大島町(%)","利島村(%)","新島村(%)","神津島村(%)"
"食べないことがある","8.3","7.6","7.2","7.1","6.4","10.8"
"ほとんど毎日食べない","14.8","12.2","11.1","19.0","15.7","6.5"
