"","預かる(%)","預からない(%)","決まっていない(%)","無回答(%)"
"全施設（n=3227）","68.7","11.7","2.4","17.1"
"認可保育所＊（n=1272）","81.3","0.5","0.6","17.7"
"認証保育所＊（n=230）","70.9","1.7","2.2","25.2"
"認定こども園＊（n=55）","83.6","1.8","0.0","14.5"
"幼稚園＊（n=362）","84.5","3.9","2.5","9.1"
"ベビーホテル（n=94）","80.9","1.1","3.2","14.9"
"家庭的保育（n=33）","42.4","3.0","3.0","51.5"
"学童保育（n=1053）","47.9","32.5","4.3","15.4"
"上記以外の施設（n=128）","58.6","6.3","7.0","28.1"
"＊前回調査施設 （再掲）（n=1919）","80.7","1.3","1.1","16.9" 
