"","総数","職員会議などで周知した／施設数","職員会議などで周知した／割合","施設内研修で利用した／施設数","施設内研修で利用した／割合","訓練に使った／施設数","訓練に使った／割合","緊急時に使った／施設数","緊急時に使った／割合","これまで利用したことがない／施設数","これまで利用したことがない／割合","持っていない／施設数","持っていない／割合","無回答／施設数","無回答／割合"
"認可保育所＊","1497","1165","77.8","551","36.8","206","13.8","49","3.3","188","12.6","5","0.3","37","2.5"
"認証保育所＊","471","368","78.1","154","32.7","46","9.8","5","1.1","57","12.1","3","0.6","11","2.3"
"認定こども園＊","85","68","80.0","28","32.9","7","8.2","5","5.9","12","14.1","","","",""
"幼稚園＊","562","359","63.9","110","19.6","37","6.6","4","0.7","146","26.0","2","0.4","10","1.8"
"ベビーホテル","279","177","63.4","69","24.7","25","9.0","2","0.7","60","21.5","3","1.1","13","4.7"
"家庭的保育","303","52","17.2","25","8.3","24","7.9","3","1.0","184","60.7","7","2.3","17","5.6"
"学童保育","1051","747","71.1","448","42.6","126","12.0","11","1.0","141","13.4","5","0.5","19","1.8"
"上記以外の施設","321","202","62.9","72","22.4","26","8.1","0","0.0","90","28.0","2","0.6","5","1.6"
"総数","4569","3138","68.7","1457","31.9","497","10.9","79","1.7","878","19.2","27","0.6","112","2.5"
"＊前回調査施設 (再掲）","2615","1960","75.0","843","32.2","296","11.3","63","2.4","403","15.4","10","0.4","58","2.2"
