"","平成25年4月","平成26年4月"
"児童発達支援（センター以外） 定員数(人)","2104","2382"
"放課後等デイサービス定員数(人)","2572","3441"
"放課後等デイサービス事業所数(か所)","216","307"
"児童発達支援（センター以外） 事業所数(か所)","122","159"
