"性別","島しょ全体(g/日)","大島出張所管内(g/日)","大島町(g/日)","利島村(g/日)","新島村(g/日)","神津島村(g/日)"
"男性","253.8","261.4","269.9","196.4","281.2","237.2"
"女性","301.7","310.2","312.7","243.5","329.9","287.9"
