"地区名","道路の名称","測定地点","緯度","経度","座標系","昭和62年独自調査","昭和63年交通量","平成6年交通量","平成9年交通量","大型車混入率","大型車混入率（％）"
"中央区","上野月島線","中央区佃3-5","35.664619","139.785706","JGD2011","14251","26766","23424","23528","3917","16.6"
"大田区","国道131号","大田区大森南1-14","35.564236","139.737213","JGD2011","19639","20047","22310","21826","6489","29.7"
"渋谷区","環状6号線","渋谷区元代々木1","35.671867","139.685486","JGD2011","31958","32931","31198","33185","4352","13.1"
"板橋区","国道17号線","板橋区志村1-12","35.774506","139.696365","JGD2011","36900","36166","34234","34734","8379","24.1"
"足立区","環状7号線","足立区梅島3-34","35.777855","139.793243","JGD2011","","39234","32483","38148","9571","25.1"
"八王子市","国道20号線","八王子市大和田町3-20-16","35.662266","139.351318","JGD2011","22366","26311","28356","28769","3640","12.7"
"八王子市","国道20号線","八王子市並木町12-10","35.652428","139.301926","JGD2011","","13150","14237","14068","1860","13.2"
"立川市","立川所沢線","立川市栄町2-46","35.711773","139.428070","JGD2011","12403","9887","9656","9805","1656","16.9"
"青梅市","立川青梅線","羽村市羽中4-2","35.760704","139.304718","JGD2011","9189","8391","8991","8770","1830","20.9"
"町田市","八王子町田線","町田市中町2-20","35.552059","139.445084","JGD2011","8794","15039","14321","14396","1779","12.4"
"田無市","新宿青梅線","田無市西原町4-1","35.433006","136.600571","JGD2011","28165","26070","27598","28661","5237","18.3"
