"","男性／低用量／n=2961(%)","男性／中用量／n=6582(%)","男性／高用量／n=1897(%)","女性／低用量／n=4482(%)","女性／中用量／n=11125(%)","女性／高用量／n=3388(%)"
"喫煙なし","59.6","47.2","41.6","81.8","78.1","75.7"
"喫煙あり","40.4","52.8","58.4","18.2","21.9","24.3"
