"資産／科目","資産／金額(円)"
"基金等保有額ａ","107065504570"
"次年度への繰越金ｂ","36135875337"
"貸付金等ｃ","10711233"
"その他の資産ｄ","32350733460"
"資産合計（ａ＋ｂ＋ｃ＋ｄ）","175562824600"
