"","施設総数","0人／施設数","1人／施設数","2人／施設数","3人／施設数","4人／施設数","5人／施設数","6人／施設数","7人／施設数","8人／施設数","9人／施設数","10人／施設数","11人～／施設数","15人～／施設数","20人以上／施設数","無回答"
"認可保育所＊","1588","299","69","86","116","112","110","124","105","74","58","49","98","17","8","263"
"認証保育所＊","527","183","50","60","52","50","29","10","7","1","2","","1","","2","80"
"認定こども園＊","95","23","9","4","6","3","6","4","5","3","3","5","3","4","2","15"
"幼稚園＊","666","342","60","22","18","13","7","10","2","4","3","6","6","8","30","135"
"ベビーホテル","331","198","24","10","9","4","6","3","","","1","1","4","3","8","60"
"家庭的保育","596","380","15","7","3","1","","","","","","","","","","190"
"学童保育","1169","587","171","91","42","30","21","20","8","5","6","2","11","6","26","143"
"上記以外の施設","376","215","37","14","7","5","6","2","2","1","1","1","2","2","4","77"
"総数","5348","2227","435","294","253","218","185","173","129","88","74","64","125","40","80","963"
"＊前回調査施設 (再掲）","2876","847","188","172","192","178","152","148","119","82","66","60","108","29","42","493"
