"年度","虐待を受けたと判断した事例件数(A)","相談・通報件数(B)","A/B(%)"
"27","2419","3056","79.2"
"26","2200","2959","74.3"
"25","2052","2761","74.3"
"24","1757","2426","72.4"
"23","1977","2729","72.4"
"22","1921","2622","73.3"
"21","1659","2295","72.3"
"20","1580","2146","73.6"
"19","1324","1860","71.2"
"18","1200","1677","71.6"
