"","客の減少(%)","客の理解(%)","費用の問題(%)","狭い(%)","要望がない(%)","その他(%)"
"飲食店／n=920","21.7","14.8","6.5","22.5","29.8","4.7"
"その他施設／n=104","17.3","16.3","3.8","19.3","27.0","16.3"
