"","昭和50年(歳)","昭和55年(歳)","昭和60年(歳)","平成2年(歳)","平成7年(歳)","平成12年(歳)","平成17年(歳)","平成22年(歳)","平成23年(歳)","平成24年(歳)","平成25年(歳)"
"東京都夫","27.6","28.6","29.0","29.3","29.6","30.1","31.2","31.8","31.9","32.1","32.2"
"全国夫","27.0","27.8","28.2","28.4","28.5","28.8","29.8","30.5","30.7","30.8","30.9"
"東京都妻","25.5","26.1","26.3","26.7","27.3","28.0","29.2","29.9","30.1","30.3","30.4"
"全国妻","24.7","25.2","25.5","25.9","26.3","27.0","28.0","28.8","29.0","29.2","29.3"
