"東京都が実施している子供のアレルギー講演会の周知（n=3,348）","%"
"知っており、参加したことがある","0.8"
"知っているが、参加したことはない","9.7"
"知らなかったが、参加してみたい","32.3"
"知らないし、参加する予定はない","57.1"
