"","平成20年(順位)","平成21年(順位)","平成22年(順位)","平成24年(順位)","平成25年(順位)"
"小5男","40","38","34","23","18"
"小5女","37","35","32","29","25"
"中2男","44","46","46","47","47"
"中2女","42","43","41","33","44"
