"","平成11年(件)","平成12年(件)","平成13年(件)","平成14年(件)","平成15年(件)","平成16年(件)","平成17年(件)","平成18年(件)","平成19年(件)","平成20年(件)"
"未就学","","","","","","","","","",""
"未就学(うち凶悪犯)","","","","","","","","","",""
"小学生","","","","","","","","","",""
"小学生(うち凶悪犯)","","","","","","","","","",""
"中学生","","","","","","","","","",""
"中学生(うち凶悪犯)","","","","","","","","","",""
"高校生","","","","","","","","","",""
"高校生(うち凶悪犯)","","","","","","","","","",""
