"","1年生のころ(％)","2年生のころ(％)","3年生のころ(％)","4年生のころ(％)","5年生になってから(％)","わからない(％)","無回答(％)"
"全体","7.5","6.6","22.5","37.0","12.4","12.7","1.3"
"困窮層＋周辺層","14.2","2.1","32.1","33.4","13.5","4.8",""
"一般層","5.4","9.1","20.7","37.4","12.0","15.5",""
