"","男性／総数","男性／20-29歳","男性／30-39歳","男性／40-49歳","男性／50-59歳","男性／60-69歳","男性／70歳以上","女性／総数","女性／20-29歳","女性／30-39歳","女性／40-49歳","女性／50-59歳","女性／60-69歳","女性／70歳以上"
"人数(人)","138","11","19","22","17","30","39","159","13","8","39","26","41","32"
"18.5未満(やせ)(%)","2.2","0.0","0.0","0.0","0.0","0.0","7.7","14.5","23.1","12.5","20.5","19.2","9.8","6.3"
"18.5以上25.0未満(普通)(%)","71.7","90.9","63.2","59.1","64.7","83.3","71.8","69.2","76.9","75.0","64.1","53.8","75.6","75.0"
"25.0以上(肥満)(%)","26.1","9.1","36.8","40.9","35.3","16.7","20.5","16.4","0.0","12.5","15.4","26.9","14.6","18.8"
