"","H9(%)","H10(%)","H11(%)","H12(%)","H13(%)","H14(%)","H15(%)","H16(%)","H17(%)","H18(%)","H19(%)","H20(%)","H21(%)"
"全国","3.4","4.1","4.7","4.7","5.0","5.4","5.3","4.7","4.4","4.1","3.9","4.0","5.1"
"東京都","4.1","4.9","5.5","5.0","5.2","5.6","5.0","5.0","4.7","4.2","3.8","3.8","4.7"
