"","男女計／件数","男女計／％","男性／件数","男性／％","女性／件数","女性／％"
"思う","67","55.8","27","51.9","40","58.8"
"思わない","53","44.2","25","48.1","28","41.2"
"合計","120","100.0","52","100.0","68","100.0"
